Lon,Lat,ID_merged
-48,86.5,165
-47,86.5,165
-46,86.5,165
-45,86.5,165
-44,86.5,165
-43,86.5,165
-42,86.5,165
-41,86.5,165
-40,86.5,165
-39,86.5,165
-38,86.5,165
-37,86.5,165
-36,86.5,165
-35,86.5,165
-34,86.5,165
-33,86.5,165
-32,86.5,165
-31,86.5,165
-30,86.5,165
-29,86.5,165
-28,86.5,165
-27,86.5,165
-26,86.5,165
-25,86.5,165
-24,86.5,165
-23,86.5,165
-22,86.5,165
-21,86.5,165
-20,86.5,165
-19,86.5,165
-18,86.5,165
-17,86.5,165
-16,86.5,165
-15,86.5,165
-14,86.5,165
-13,86.5,165
-12,86.5,165
-11,86.5,165
-10,86.5,165
-9,86.5,165
-8,86.5,165
-7,86.5,165
-6,86.5,165
-5,86.5,165
-4,86.5,165
-3,86.5,165
-2,86.5,165
-1,86.5,165
0,86.5,165
1,86.5,165
2,86.5,165
3,86.5,165
4,86.5,165
5,86.5,165
6,86.5,165
7,86.5,165
8,86.5,165
9,86.5,165
10,86.5,165
11,86.5,165
12,86.5,165
13,86.5,165
14,86.5,165
15,86.5,165
16,86.5,165
17,86.5,165
18,86.5,165
19,86.5,165
20,86.5,165
21,86.5,165
22,86.5,165
23,86.5,165
24,86.5,165
25,86.5,165
26,86.5,165
27,86.5,165
28,86.5,165
29,86.5,165
30,86.5,165
31,86.5,165
32,86.5,165
33,86.5,165
34,86.5,165
35,86.5,165
36,86.5,165
37,86.5,165
38,86.5,165
39,86.5,165
40,86.5,165
41,86.5,165
42,86.5,165
43,86.5,165
44,86.5,165
45,86.5,165
46,86.5,165
47,86.5,165
48,86.5,165
49,86.5,165
50,86.5,165
51,86.5,165
52,86.5,165
53,86.5,165
54,86.5,165
55,86.5,165
56,86.5,165
57,86.5,165
58,86.5,165
59,86.5,165
60,86.5,165
61,86.5,165
62,86.5,165
63,86.5,165
64,86.5,165
65,86.5,165
66,86.5,165
67,86.5,165
68,86.5,165
69,86.5,165
70,86.5,165
71,86.5,165
72,86.5,165
73,86.5,165
74,86.5,165
75,86.5,165
76,86.5,165
77,86.5,165
78,86.5,165
79,86.5,165
80,86.5,165
81,86.5,165
82,86.5,165
83,86.5,165
84,86.5,165
85,86.5,165
86,86.5,165
87,86.5,165
88,86.5,165
89,86.5,165
90,86.5,165
91,86.5,165
92,86.5,165
93,86.5,165
94,86.5,165
95,86.5,165
96,86.5,165
97,86.5,165
98,86.5,165
99,86.5,165
100,86.5,165
101,86.5,165
102,86.5,165
103,86.5,165
104,86.5,165
105,86.5,165
106,86.5,165
107,86.5,165
108,86.5,165
109,86.5,165
110,86.5,165
111,86.5,165
112,86.5,165
113,86.5,165
114,86.5,165
115,86.5,165
116,86.5,165
117,86.5,165
118,86.5,165
119,86.5,165
120,86.5,165
121,86.5,165
122,86.5,165
123,86.5,165
124,86.5,165
125,86.5,165
126,86.5,165
127,86.5,165
128,86.5,165
129,86.5,165
130,86.5,165
131,86.5,165
132,86.5,165
133,86.5,165
134,86.5,165
135,86.5,165
136,86.5,165
137,86.5,165
138,86.5,165
139,86.5,165
140,86.5,165
141,86.5,165
142,86.5,165
143,86.5,165
144,86.5,165
145,86.5,165
146,86.5,165
147,86.5,165
